web_scraper_order,web_scraper_start_url,container_links,details,prix,adresse,image_lien
"1771531928-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729692","","Prix sur demande","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_729692_uploaded_image1_1562719154.82.png)"
"1771531931-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-729710","On livre partout à Dakar .

Juste vous payer le prix de votre poulet et la livraison est faite .","3 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_729710_uploaded_image1_1562719384.82.png)"
"1771531935-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729715","","Prix sur demande","Médina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_729715_uploaded_image1_1562719494.94.png)"
"1771531938-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-761183","Un couple géant des Flandre issu d'un mâle fauve géant des flandre pur sang importé et tatoué.","70 000 CFA","Mbour, Sénégal","background-image:url(https://images.coinafrique.com/thumb_761183_uploaded_image1_1563536095.25.png)"
"1771531941-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-774940","Couple de lapins demi sang géants des Flandres, disponible","40 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_774940_uploaded_image1_1563940703.34.png)"
"1771531945-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-798654","Meilleure qualité poulet de chair poids 2.kg à seulement 2000","2 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_798654_uploaded_image2_1564576617.9.png)"
"1771531948-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-brahmane-841858","Bonjour je vends des coqs et poussins de Brahmane pur sang","5 000 CFA","Thies Ouest, Thiès, Sénégal","background-image:url(https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png)"
"1771531978-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-et-poussins-bleus-855420","Disponibles.","15 000 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png)"
"1771531981-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/race-bleu-d-hollande-858710","","800 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_858710_uploaded_image1_1566319546.08.png)"
"1771531985-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-gdf-4-mois-862099","Femelle GDF 4 mois à vendre","70 000 CFA","Médina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png)"
"1771531988-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-noir-adulte-878312","","10 000 CFA","Médina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png)"
"1771531992-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-885789","","2 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png)"
"1771531995-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-et-poussins-886578","Nous mettons à votre disposition des volailles de race de hollande

- Origine hollandaise

- Poids adulte : coq : 3,5 à 4 kg ; poule : 2,7 à 3,2 kg

Nous faisons la couvaison des œufs importés et mettons en vente les poussins à raison de 800 F CFA l’unité.","800 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png)"
"1771531998-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-886584","","2 500 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_886584_uploaded_image1_1567011994.0.png)"
"1771532002-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-899472","Coq cochin bleu de 6 mois à vendre","30 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_899472_uploaded_image1_1567385639.81.png)"
"1771532005-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-899477","Couple bantam de 3 semaines à vendre","15 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png)"
"1771532009-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/barahmane-899487","Barahmane de 4 mois à vendre.","15 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png)"
"1771532012-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-899496","Femelle cochin bleu en production et race pure à vendre","30 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png)"
"1771532015-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-908730","Venez commander de bons poulets à bon prix","Prix sur demande","Pikine, Sénégal","background-image:url(https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png)"
"1771532019-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-912493","Poussins de moins de 2 semaines","8 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png)"
"1771532022-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bouldolande-944280","Bon prix .","7 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png)"
"1771532027-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-pigeon-lapin-944363","Éleveur professionnel
Pigeon de race poulet de race lapin de race pérush","Prix sur demande","Sénégal","background-image:url(https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png)"
"1771532031-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paons-pigeons-968953","Je vends des paires de paons à des prix très abordables. 

Si vous êtes intéressés, contactez moi.","30 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_968953_uploaded_image1_1569008082.81.png)"
"1771532034-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-977534","Poules","7 000 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_977534_uploaded_image1_1569239272.43.png)"
"1771532037-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-californien-993655","Lapin mal","11 000 CFA","Médina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_993655_uploaded_image1_1569535990.77.png)"
"1771532041-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-poules-1006369","Capables de couver ses œufs et d'élever ses poussins","35 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006369_uploaded_image1_1569853974.38.png)"
"1771532044-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleus-dhollande-1006380","Capables de couver ses œufs comme les poules de la basse cour","15 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006380_uploaded_image1_1569854064.06.png)"
"1771532047-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006407","Pigeon Triganini est une race de pigeon italienne de Modene","20 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006407_uploaded_image1_1569854536.38.png)"
"1771532051-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006413","Messager de Bassorah est une race de pigeon syrienne","25 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006413_uploaded_image1_1569854645.39.png)"
"1771532054-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006424","Pigeon originaire de la ville  de Revelles","20 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006424_uploaded_image1_1569854764.54.png)"
"1771532058-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-californien-1014679","","15 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png)"
"1771532061-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-1023073","Lapin géant métisse Florida white (USA) âgés de 6 mois et bien entretenu","45 000 CFA","Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1023073_uploaded_image1_1570188340.15.png)"
"1771532064-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perroquet-1040990","Des inséparables perroquets de décoration","75 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1040990_uploaded_image1_1570583700.42.png)"
"1771532068-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-des-flandres-1072763","Lapin mâle de 5 mois 3/4, géant des Flandres.","35 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png)"
"1771532071-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-links-1091921","","Prix sur demande","Diourbel, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1091921_uploaded_image1_1571681099.26.png)"
"1771532074-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-cravates-francais-1112720","Je vends un couple pigeons cravatés français.","50 000 CFA","Cambérène, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1112720_uploaded_image1_1572054298.36.png)"
"1771532078-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleu-hollandais-1115010","Bon poulet","25 000 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_1115010_uploaded_image1_1572106167.81.png)"
"1771532081-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1137405","Pigeons de race pur sang.","Prix sur demande","Fatick, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1137405_uploaded_image2_1572537461.89.png)"
"1771532084-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-guinars-tiirr-1146827","Je vends des poulets ""guinars tiirr"", disponibles à bon prix noirs et blancs.","Prix sur demande","Patte d'oie, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1146827_uploaded_image2_1572746441.92.png)"
"1771532088-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/maton-1148605","","25 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1148605_uploaded_image1_1572793285.71.png)"
"1771532091-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lawar-1148681","A discuter","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1148681_uploaded_image1_1572794832.68.png)"
"1771532095-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-1-jour-1159518","Poussin de qualité couvoir Amar nous travaillions pour l'efficacité selon le besoin et la proximité des personnes.","Prix sur demande","Sénégal","background-image:url(https://images.coinafrique.com/thumb_1159518_uploaded_image1_1572985208.46.png)"
"1771532098-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-femelle-lavande-1204935","Je vends une jeune femelle lahor lavande","20 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1204935_uploaded_image1_1573840898.61.png)"
"1771532101-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1209192","Eureka guet-gui - met en vente ce couple de beauté allemand blanc uni adulte","60 000 CFA","Pikine, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1209192_uploaded_image1_1573933592.0.png)"
"1771532106-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-a-queue-de-paon-indien-1242200","Bonjour tout le monde , nous somme là pour vous présenter notre premier fruit de la Colombo culture (élevage des pigeons de races) 
Un couple de pigeon jeune, âgé de 2 mois ,ce sont des paons indien rouge à tampon gris
Paon indien à un prix vraiment avantageux pour vous.
Eh oui, c'est notre black friday ,","20 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1242200_uploaded_image1_1574510941.51.png)"
"1771532109-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-fauve-1246480","Bonjour je vous présente une femelle fauve à un prix cadeau + un paon blanc offert","10 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1246480_uploaded_image1_1574613561.29.png)"
"1771532113-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-1247406","Je vends un pigeon mâle de race mondain
je vous le vends à un prix cadeau alors appelez-moi vite
n'hésitez pas pour des informations.","20 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1247406_uploaded_image1_1574631655.88.png)"
"1771532116-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapin fauve de Bourgogne à vendre 
Pure race","Prix sur demande","Ngor, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1261253_uploaded_image1_1574871227.98.png)"
"1771532123-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291213","Je suis un éleveur de lapin de race","70 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1291213_uploaded_image1_1575425609.27.png)"
"1771532126-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291215","Lapins de race à vendre en bonne santé","70 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1291215_uploaded_image1_1575425694.27.png)"
"1771532130-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-1291244","","25 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1291244_uploaded_image1_1575430604.21.png)"
"1771532133-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dinde-damerique-1346036","Nous vendons des dindes ; colvert ; canard ; pigeons ; poulet local etc....
Veillez me contacter pour plus d'information  merci","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1346036_uploaded_image1_1576462750.49.png)"
"1771532137-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/canards-1346042","Nous vendons des canards. Contacter nous pour plus d'information merci","5 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1346042_uploaded_image1_1576463783.33.png)"
"1771532140-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oeuf-feconde-1365452","Des œufs fécondés de qualité, pour des poussins en bonne santé.
Nous produisons des œufs fécondés de Ross 308. 
Les poulet de chairs.
Notre stock est toujours disponible. 
Nous livrons dans 3 jours après la validation de votre commande 
Nous livrons minimum une palette qui contient 8640 œufs. 
NB: si vous avez besoin plus d'informations ou d'un incubateur n'hésitez pas à nous contacter.","240 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1365452_uploaded_image1_1576790350.48.png)"
"1771532143-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-bantam-de-pekin-1415870","Trio bantam de pékin (male noir femele noir et gris)","60 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1415870_uploaded_image1_1577915713.92.png)"
"1771532147-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-1415899","Couple brahmane adulte","50 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1415899_uploaded_image1_1577916626.18.png)"
"1771532150-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-race-1417714","Baramane de race","40 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1417714_uploaded_image1_1577970779.66.png)"
"1771532153-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-7-jours-1432855","Des poussins hermines sont disponible sur prix
Merci","15 000 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_1432855_uploaded_image1_1578928555.77.png)"
"1771532157-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1461888","Une mâle de poule de race baraman à vendre","35 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1461888_uploaded_image1_1578719186.99.png)"
"1771532160-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/males-bantam-de-pekin-1480111","Des males de bantam de pékin à vendre à un prix abordable","15 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png)"
"1771532165-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1521236","Un mâle de race baraman disponible","40 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1521236_uploaded_image1_1579695858.03.png)"
"1771532168-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-cochin-1577201","Couple cochin adulte(male et une femele coucou)","Prix sur demande","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1577201_uploaded_image1_1580561085.8.png)"
"1771532171-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oies-1584132","Couple  oie à vendre prix abordable","90 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1584132_uploaded_image2_1580714620.25.png)"
"1771532175-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-1599500","","30 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1599500_uploaded_image1_1580916087.86.png)"
"1771532178-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1645136","Couple cochin adulte à vendre","55 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1645136_uploaded_image1_1581608040.8.png)"
"1771532182-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/blond-panoramin-1654385","","40 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png)"
"1771532185-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metisse-1687460","Je mets en vente des lapin métissé","10 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1687460_uploaded_image1_1582336381.54.png)"
"1771532188-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-1691196","","250 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1691196_uploaded_image1_1582420837.2.png)"
"1771532192-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpington-fauve-1699722","Vente de coq Orpington fauve","35 000 CFA","Louga, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1699722_uploaded_image1_1582581938.31.png)"
"1771532195-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1712742","Couple pigeons de race","65 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1712742_uploaded_image1_1582798028.37.png)"
"1771532198-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-orpington-1716103","Des poussins Orpington disponible à 5000fcfa l'unité","5 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1716103_uploaded_image1_1582837127.36.png)"
"1771532202-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-1723625","Baraman disponible mâle à bon prix","25 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1723625_uploaded_image1_1582972350.31.png)"
"1771532205-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-1732205","Lapin de race Angora","25 000 CFA","Thies Nord, Thiès, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1732205_uploaded_image1_1583152160.0.png)"
"1771532208-74","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-bantam-1773437","Mâles bantam de pékin de 7 mois à vendre","20 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1773437_uploaded_image1_1583858452.61.png)"
"1771532212-75","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804515","Des couple texan et paon indien disponible","60 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1804515_uploaded_image1_1584398280.63.png)"
"1771532216-76","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804522","Des couple texan et paon indien disponible","60 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1804522_uploaded_image1_1584398352.13.png)"
"1771532219-77","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-indien-1804679","Bonjour je vend une  couple a paon indien","30 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1804679_uploaded_image1_1584402291.56.png)"
"1771532222-78","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1804847","Livraison a domicile a partir de 5 poulets 1kilo700 et 2kilo","2 700 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_1804847_uploaded_image1_1584408926.38.png)"
